id;name;calories;proteins;fats;carbohydrates
175;Какао порошок;350;23.6;20.2;17.9
176;Кисель фрукт-ягодн.конц.сухой;100;0.2;0;17.3
177;Кофе растворимый;300;3.5;3.6;0
178;Кофе молотый;300;3.5;3.6;0
179;Соки концентрированные сухие;100;0.4;0;25
180;Чай;0;0;0;0
181;Приправы, специи;0;0;0;0
182;Горчица;1;0;0;0
183;Лавровый лист;1;0;0;0
184;Перец;1;0;0;0
185;Соль;0;0;0;0
186;Томатная паста;76;3.5;0;15
236;Майонез провансаль 67%;627;1.5;67;4.3
222;Водка;300;0;0;0
227;Текстурированные соевые продукты;0;0;0;0
228;Соевое мясо;290;69;1;5
238;Соевое молоко сухое;510;2.6;28.5;63.3
234;Яйцо куриное;53;12;12.5;0.5
237;Паштет куриный с грибами;200;5;30;1.4
1000;"'Хлеб ""Бородинский""'";207;6.8;1.3;40.7
